Title,Description,Title,Company,Location,Link
Analyst,"ASIC is seeking a full time Analyst, Regulatory Insights & Assessment to join their Regulatory Insights & Assessment team (RI&A).
Permanent position based in Brisbane, Melbourne, Canberra, Perth and Sydney.
Salary starting from $123,444 (plus 15.4% superannuation) depending on experience.
Hybrid working - enjoy 2-3 days working from home.
  A future with ASIC means that your work will contribute to ASIC's vision for a fair, strong and efficient financial system for all Australians. We value what you will bring. We value those with sharp, analytical minds and are open to challenging the way things are done. 
  The team 
Registry & Intelligence is comprised of seven teams - Registry Operations, International, Strategic Planning & Intelligence, Regulatory Insights & Assessment, Criminal Intelligence Unit, the Information & Knowledge Resource Centre and Business Improvement & Innovation. These teams drive an intelligence led regulatory approach using data informed insights and intelligence. The teams do this by assessing reports lodged with ASIC, manage information and data flowing into and created by ASIC and lead our international engagement.
The Regulatory Insights & Assessment team (RI&A) is responsible for the assessment and action of reports of alleged misconduct and breach notifications received by ASIC from members of the public and regulated businesses. The team is also responsible for the collection and publication of internal dispute resolution data from financial firms. 
  The role 
This role will be directly involved in the internal dispute resolution publication project, where you will be required to assist the development of policy and technical requirements for the external publication of internal dispute resolution data. You may also be required to undertake core RI&A tasks such as assessing reports, mentoring team members and process improvement.
As an Analyst, you will be accountable for:
Contributing to the development of public reporting of financial industry data reported to ASIC, including selecting appropriate data elements, presentation, and contextualisation.
Working in a project team as a business expert on the development of the design and technical solution for the public reporting of financial industry data, provide subject matter expertise, manage risks, and report to RI&A's management group on the project.
Working with data analysts to prepare summaries, reports, briefings, presentations, and data visualisations monitoring the status and quality of financial industry data reported to ASIC as well as to assist other teams make use of the data.
Contributing to regular updates of ASIC's regulatory guidance and legislative instruments covering financial industry data reporting by monitoring law reform, industry product or issue changes, and desirable enhancements to the reporting rules or guidance.
  About you
Relevant tertiary qualifications.
Relevant industry related experience gained in financial services, regulatory, corporate, insolvency, government policy, or commercial law environment. 
Demonstrated ability to manage multiple stakeholders and projects and take responsibility for outcomes.
Ability to analyse and provide advice on practices, policy and projects relating to the financial services industry and ASIC's regulatory environment.
Experience delivering results in a complex environment through a commitment to quality outcomes, managing risks, and the efficient use of resources.
Strategic thinking, analytical, investigative and research skills, including data analysis and presentation.
Conceptual, analytical, and problem-solving skills as well as drawing inferences from qualitative and quantitative data and to reach robust and practical conclusions.
  About ASIC 
ASIC is Australia's corporate, markets, financial services and consumer credit regulator. Our vision is for a fair, strong and efficient financial system for all Australians. 
A future with ASIC means that your work will contribute to achieving ASIC's vision. 
ASIC is an equal opportunity employer seeking people who want to make a difference. ASIC is committed to a diverse and inclusive workplace where the very best talent in Australia chooses to work. Applications from people of all ages, cultural backgrounds, abilities, LGBTIQ+ identity, and people of Aboriginal and Torres Strait Islander decent are encouraged to apply.  
To work with us, you need to be an Australian citizen, and be prepared to complete an ASIC Suitability and Baseline Assessment which is issued by ASIC's Security team.
View the position description for more information or click ‘apply' to start your application.
  Applications for this role will close at 11:59pm on Sunday 1st December 2024.",Analyst,ASIC,Brisbane QLD,https://www.seek.com.au/job/80204688?type=standout&ref=search-standalone&origin=cardTitle#sol=e9a253d9b6a24946bb004bc63d9b1a7949f616b6
Senior Data System Analyst,"Hybrid Working Environment
QLD location ideally, open to NSW or VIC
We’re never just satisfied with how things are – because we know how things could be. And it’s our expert Technology team who forge ahead every day to make those ‘what ifs’ a reality.
As a Senior Data System Analyst, you will play a crucial role as the liaison between business requirements and technical data solutions, with a primary focus on optimizing data-related aspects within our organisation. We are requiring a new Senior Data Systems Analyst in our Customer Platforms team. 
In this role, you will be dedicated to ensuring that data systems and processes effectively support our organization's strategic objectives and operational needs. As a key subject matter expert on data systems, flows, integrations, and analytics, you will possess a deep understanding of how data flows throughout the organisation. Your expertise will extend not only to the systems themselves but also to the context in which the business uses and leverages the available information.
Drawing upon this comprehensive knowledge, Senior Data System Analysts will guide technology deliverables to ensure that outcomes are fit for purpose and align with stakeholder needs. Your contribution will be pivotal in driving the optimization of our data systems to meet the evolving requirements of the organization.
  What you’ll do
Conduct in-depth analysis of business processes, identify improvement opportunities, and define requirements to address business needs
Manage and maintain a comprehensive set of requirements, ensuring they are well-documented, traceable, and prioritized
Lead and execute comprehensive testing of business processes, ensuring that they meet established requirements and performance criteria
Identify and assess risks associated with Data and Business Systems. Develop risk mitigation plans and work with stakeholders to ensure the successful management of risks
Analyse and report on business data to support decision-making processes
Lead efforts to redesign and optimize business processes.
Foster and manage relationships with key business stakeholders to understand their needs and ensure IT solutions align with business objectives
What you’ll bring
Tertiary qualifications in IT, Business, or associated field (Mandatory)
6+ years of experience in a data-related role, in a primarily analyst type capacity
Customer Master Data Management (MDM) experience & Strong Data Mapping skills
Proficiency in managing complex and detailed requirements through their lifecycle, ensuring alignment with business goals and technological capabilities
Advanced skills in data analysis, including complex data manipulation, statistical analysis, or predictive modeling
Expertise in analysing intricate business processes and workflows, identifying inefficiencies, and proposing optimizations or reengineering strategies
Mastery of Agile methodologies (e.g., Scrum, Kanban) and other project management methodologies for efficient and adaptive project execution
Strong leadership, strategic thinking, stakeholder management, and negotiation skills essential for guiding complex IT initiatives
What we can offer
A range of flexible working and leave options, including 20 weeks paid parental leave, 4 weeks paid secondary carer parental leave and unlimited paid emergency response leave
Discounts and offers on a range of retail favourite stores as well as banking and insurance products
Give back to our communities with payroll giving, donation matching and paid volunteer leave
Invest in your brighter future with ongoing study support and career development programs; and
Prioritise your work/life balance with our robust employee assistance program and dedicated employee council
Employee benefits | Suncorp Group
 ",Senior Data System Analyst,Suncorp,Brisbane QLD,https://www.seek.com.au/job/80112460?type=standout&ref=search-standalone&origin=cardTitle#sol=8669101336c4af55d0e1534883152d05a4138e55
Analyst,"Job Opportunity: Full-Time Analyst
Key Responsibilities:
Develop and implement pricing strategies using mathematical and analytical methodologies.
Optimise operational processes to enhance efficiency and effectiveness.
Contribute to strategic decision-making through detailed data analysis and reporting.
Collaborate with cross-functional teams to drive business growth and operational excellence.
Qualifications:
Recent graduate in business, mathematics, finance, or related field.
Strong analytical skills with a passion for numbers and data-driven decision-making.
Basic understanding of the banking or financial sector; keen to receive training and mentorship in fintech.
Excellent problem-solving abilities and attention to detail.
Desire to grow in a fast-paced, dynamic fintech environment.
Strong interpersonal and communication skills; team-oriented mindset.
Entrepreneurial spirit",Analyst,Beyond Payments,Milton,https://www.seek.com.au/job/80150355?type=standout&ref=search-standalone&origin=cardTitle#sol=f90d07b617e46ece2a33b94c51eed877312fcf82
Data Analyst,"Our Business:
Established in 1993, and with three offices located in South-East Queensland including its head office on the Sunshine Coast, Devcon provides property solutions for a range of clients throughout South-East Queensland.

Driven by a ‘Built/Better’ motto, we specialise in the design and construction of residential, industrial and commercial properties throughout Queensland.
Your Next Opportunity:
Are you passionate about data and looking for a rewarding career in the construction industry? Devcon Building Co is seeking a dedicated Data Analyst to join our dynamic team. 
Ideally the successful candidate would have previous experience in a similar role. The role will be a full-time position, Monday to Friday, in our Buddina office.
Responsibilities
Using a variety of data analysis tools to interpret and report on data 
Proactively suggesting improvement in the company’s processes or approaches based on their findings 
Reporting on past events, issues and trends so that other employees can learn from them. 
Acting as a liaison between different departments within the company
Testing out new BI tools or analytics techniques to find better ways of analysing data
Creating and maintaining databases where needed within different departments
Developing systems and processes throughout the business and maintaining system integrity
Other tasks and responsibilities as they arise, and the role develops further                              
Requirements
Strong understanding of statistical analysis techniques 
Experience creating and using reports and dashboards in Power BI
Excellent math skills, as well as readiness to learn new mathematical concepts whenever necessary 
The ability to communicate complex information effectively in report form 
Familiarity with common software tools used for big data analysis. These include SQL databases, R programming language, Python, DAX and others 
Strong computer literacy, including proficiency in using spreadsheets and dashboards 
Ability to work both independently and as part of a team
Why Join Us:
Opportunity for career growth and development within a reputable construction company
Collaborative and supportive work environment
Regular company wide social events
 All suitably qualified or experienced candidates are welcome.  Salary commensurate with experience.  
If you feel you meet the criteria and would like to apply, please apply with your resume and cover letter via the attached link.
Only those successful in reaching interview stage will be contacted.",Data Analyst,Devcon Building Co Pty Ltd,Buddina,https://www.seek.com.au/job/80233460?type=standard&ref=search-standalone&origin=cardTitle#sol=8e81f1a872c5c4cddadb7496d0dd680afc49e039
Risk & Compliance Analyst,"Risk & Compliance Analyst
Full-time permanent
  
Permanent Full-Time position available (9 day fortnight)
Lifestyle north QLD location, attractive benefits
$87,000 - $90,000 per annum + superannuation based on skills, qualifications and experience.
   Townsville City Council, the largest local government authority in Northern Australia, is dedicated to fostering economic diversity and creating an enriching lifestyle for its residents and visitors. With over $9 billion in community assets, including vital infrastructure such as water treatment plants, roads, waste management facilities, and sporting venues, the Council plays a key role in enhancing the region’s active lifestyle through events, recreational facilities, and environmental protection. The Council is committed to building a vibrant, sustainable, and innovative city that benefits both current and future generations.

As part of this mission, Townsville City Council is focused on delivering exceptional service and maintaining strong connections with the community. The Council’s vision is to create a connected, lifestyle-driven, and innovation-focused city that is shaped by its residents.

About the Role

The Risk and Compliance Analyst is responsible for managing risk and compliance across the Information Technology Services (ITS) division at Townsville City Council. This includes developing and delivering an annual risk and compliance program, conducting compliance reviews, and ensuring adherence to relevant policies and legislative requirements. The role involves collaboration with the ITS leadership team, internal and external auditors, and key stakeholders to support continuous improvement and maintain business continuity. The Analyst is also responsible for maintaining key ITS documents, including policies, directives, and emergency response plans, while ensuring that all activities align with the Council’s strategic goals and risk appetite. The successful candidate will benefit from the mentoring and support of leadership and their team.

About You

Tertiary qualifications in a relevant risk and compliance discipline
Minimum of five years' industry experience, including three years in a similar role
Experience in IT risk management (there is an existing Cyber Security team so expertise in this area is not a focus)
Knowledge of customer service principles within an IT environment
Familiarity with ISO2700x standards
Strong analytical skills and ability to interpret complex data
Experience working within large, diverse organisations
Strong communication, negotiation, and interpersonal skills
Ability to foster relationships with stakeholders, ensure compliance, and manage risk within the IT framework
   How to Apply

Your application can be submitted through the 'Apply' button on this website. Please include a cover letter (maximum 2 pages), outlining how your skills, qualifications and experience would allow you to achieve success in this role. We also will require your resume and copies of any licences and qualifications as per the key requirements of the role may be required in due course.
Previous applicants for previously advertised roles are not required to re-apply. 

For a copy of the Position Description please copy and use this URL:  https://tinyurl.com/ERRRCA

For more information or a confidential discussion, please email andrew@edenritchie.com.au or call (07) 3230 0018.

Closing Date:  12 noon, Wednesday 16th October, 2024.",Risk & Compliance Analyst,Eden Ritchie Recruitment,Townsville,https://www.seek.com.au/job/80057411?type=standout&ref=search-standalone&origin=cardTitle#sol=39e3cae12a595b81bb76f8491652ace880f8f3bd
Data Analyst,"About us

Ausco Modular is Australia's leading transportable hire and modular construction company with over 16 locations across Australia. We are an organisation that enjoys consistent and rapid growth, offering our employees secure employment, career progression and a safe work environment that encourages and brings out the best in our people. 

Your new role:

Working within our Finance Team the Data Analyst will assist in the economic and financial research and analysis for use in the development of new products, business strategies, and tactics. You will work closely with key Stakeholders to prioritize information needs, analyse results, and report findings to the business.

Additionally, you will be responsible for researching background materials, including relevant economic and financial data, as well as quantifying the financial impact of opportunities and issues involved.

Duties include but not limited to
Generate reports and construct complex data models.
Develop new data collection and analysis methods.
Interpret patterns in complex data sets, identifying trends.
Formulate strategies to enhance statistical result quality.
Maintain databases and contribute to long-term financial forecasts and budgets.
Optimize resource management for cost-efficiency, aligning with budget agreements.
Evaluate financial impacts, ROI, and payback periods for potential investments.
Ensure compliance with legislative requirements, company policies, and confidentiality protocols.
What you will bring to the role:
Degree in Business, Commerce, or a related field
Experience in Financial Accounting, Economics, or Finance (recent graduates considered)
Proficiency in Power BI
Advanced Excel skills, including macro writing.
High accuracy, numerical proficiency, and attention to detail
Strong analytical and problem-solving capabilities.
Critical thinking and analytical mindset for data comprehension
Why us

At Ausco Modular we recognise there is so much more to our people than work so we have programs in place including flexible working so we can support you to realise your full potential.   We are a values-based organisation where the safety and well being of our people is our number one priority.  We also respect and celebrate differences so that everyone will experience a sense of belonging, contribution, and fulfillment.

As an organisation, we are committed to operating sustainably and in an environmentally and socially responsible way with various targets associated with a reduction energy and water use and waste.

If you are looking for a role where you can collaborate with your peers and leadership to help drive great outcomes for customers, please apply below
You must have the right to live and work in Australia to apply for this position.

We support diversity and strongly encourage Women and those from Aboriginal and Torres Strait Islander communities and defence veterans to apply.
  ",Data Analyst,Ausco Modular Pty Ltd,Redbank,https://www.seek.com.au/job/80204389?type=standout&ref=search-standalone&origin=cardTitle#sol=aafdc12623566073a48e15f17f14f394b315270a
Senior Business Analyst,"Key Responsibilities/Accountabilities
• Develop current and future state process maps to inform and support the development of products and services.
• Identify and document business rules based on relevant legislation, organisational policies and procedures.
• Identify and document data input and output requirements.
• Analyse business processes and information flows and identify process improvement opportunities.
• Engage with stakeholders using existing channels and representative groups or establishing new channels to effectively capture user needs and obtain a deep understanding of business problems / opportunities.
• Identify and define measures that can be used to baseline and track both quantitative and qualitative business benefits.
• Identify change impacts and communicate to program and stakeholders.
• Produce artefacts to support change and communication activities.
• Work collaboratively with UX/UI and the wider team to define and improve the user experience.


Skills and Capabilities
• Well-developed analytical, problem solving and organisational skills with an ability to meet priorities, competing deadlines and use of sound judgement in decision making.
• Demonstrated ability to work as part of a team of people to provide consistent, responsive and high-quality advice and support.
• Excellent organisational skills and demonstrated experience working in a rapidly changing and demanding professional environment with proven capacity to prioritise, multi-task, achieve business goals, perform and always work with a customer focused approach.
• Demonstrated high level of interpersonal, negotiation and communication skills, both written and oral, including demonstrated ability to liaise effectively with internal and external key stakeholders.
• Openness to learning and takes responsibility for personal growth. Acquires strategies for gaining knowledge and learning new technologies and skills. Engages in learning from others both within and outside the organisation. Tries new approaches and broadens scope of work while learning from work assignments.


Essential to the Role:
• Previous experience (5+ years) in a business analysis or analytical role in a complex project environment is essential.
• Demonstrated experience in Business Process Mapping and Process Analysis experience using relevant Business Process Modelling Notation (BPMN 2.0).
• Demonstrated strong oral and written communication skills, strong skills in negotiation and customer management.
• Sound analytical and conceptual skills, strong attention to detail, a logical approach to problem solving and an investigative and inquisitive mind.
• Demonstrated inclusive, collaborative and engaging approach, including the ability to consult, facilitate, negotiate and influence with a broad range of stakeholders.",Senior Business Analyst,Aspirante,Brisbane QLD,https://www.seek.com.au/job/80097892?type=standard&ref=search-standalone&origin=cardTitle#sol=8ad9963f0c60ecbc1d0ff072fc300088cd4ea4f3
Business Analyst,"Australia's largest government is looking for a skilled and proactive Business Analyst with experience in Microsoft Dynamics 365 and/or the Power Platform to join their innovative team. In this role, you will analyze, design, and support the implementation of robust solutions that drive efficiencies and enhance service delivery for Brisbane's growing community. This is an exciting opportunity to be part of meaningful projects that impact local government operations and improve the daily lives of Brisbane's residents.
Qualifications/ Experience
Bachelor's degree in Information Technology, Business Bachelor's degree in Computer Science, Information Systems, or related field or equivalent industry experience
5+ years of experience as a Business Analyst.
Experience designing and developing solutions using Microsoft Power Platform or Dynamics.
Strong analytical and problem-solving skills.
Excellent communication and collaboration skills.
Ability to work independently and manage multiple priorities.
Experience with Agile methodology (Scrum) is required.
Job number: 267486
To be considered for the role click the 'apply' button or for more information about this and other opportunities please contact Anna Reyes on + 617 3709 7456 or email areyes@paxus.com.au and quote the above job reference number.
Paxus values diversity and welcomes applications from Indigenous Australians, people from diverse cultural and linguistic backgrounds and people living with a disability. If you require an adjustment to the recruitment process, including the application form in an alternate format, please contact me on the above contact details.",Business Analyst,Paxus,Brisbane QLD,https://www.seek.com.au/job/79934594?type=standout&ref=search-standalone&origin=cardTitle#sol=ea2dc0390da400ff11f19965e298e40eb371ccf3
Business Analyst,"The Company
Martinus Rail is a 100% Australian owned and operated rail construction company working on some of Australia's largest rail infrastructure projects. We are a company that focuses on finding people who are the right fit into our company culture as much having the right skills and experience. We encourage learning, experimentation and out of the box thinking, and we know that fun is a vital element of an engaged and productive workplace. We value the importance of balance between work and family life and promote this philosophy throughout the company.
 The Role
We are seeking a Business Analyst to assist our high-performing team in Brisbane. 
 Key Responsibilities:
Financial Modelling: Design, develop, and maintain financial models to support decision-making, including budgeting, forecasting, valuation, scenario analysis, and performance tracking.
Data Analysis: Gather and analyse financial data to identify trends, anomalies, and key metrics that drive business insights and strategic recommendations.
Budgeting & Forecasting: Work with cross-functional teams to develop and refine budgets and forecasts, incorporating historical data and market trends.
Scenario & Sensitivity Analysis: Conduct scenario and sensitivity analyses to assess the impact of changes in variables on financial performance and project outcomes.
Reporting & Presentation: Prepare detailed reports and presentations, summarizing financial insights and recommendations to assist leadership in strategic planning and investment decisions.
Stakeholder Collaboration: Collaborate with various departments (e.g., finance, operations, Business Development) to gather data, validate assumptions, and ensure alignment on key business drivers.
Continuous Improvement: Identify opportunities to enhance financial modelling processes, tools, and reporting methodologies to increase efficiency and accuracy.
 Required Skills & Qualifications:
Education: Bachelor’s degree in Finance, Accounting, Economics, Business Administration, or a related field preferred.
Experience: 3+ years of experience in financial modelling, financial analysis, or a similar role.
Technical Skills: Proficiency in Excel (advanced modelling functions, and BI tools (e.g., Power BI) is highly desirable.
Analytical Skills: Strong analytical and quantitative skills, with the ability to handle large datasets and complex financial models accurately.
Communication Skills: Excellent written and verbal communication skills, with the ability to clearly present financial concepts and findings to non-financial stakeholders.
Attention to Detail: High attention to detail with the ability to spot trends, inconsistencies, and opportunities in financial data.
To apply online, please click on the appropriate link below. Please note agency submissions will not be accepted.",Business Analyst,Martinus Rail,Loganlea,https://www.seek.com.au/job/80227892?type=standard&ref=search-standalone&origin=cardTitle#sol=6ba7ea46ac4c19cf2a6766173c5baf3bf5d82b64
Master Data Analyst,"Discover Your Next Role
As a Master Data Analyst at Wilmar, you'll play a key role in managing and maintaining the integrity of high-end master data for our Plant Maintenance (PM) and Project Systems (PS) modules in SAP. This crucial function supports our asset management processes, ensuring system standards are upheld and compliance is maintained across the business.
This full-time position will be based in our tropical Townsville Office or at anyone of our operating sites across North Queensland, offering you the chance to live and work in a dynamic and supportive environment. You'll enjoy a collaborative team culture with access to excellent facilities and a range of benefits to support your career growth.
Your Role in Action
Master Data Governance & Integrity
Maintain and ensure the accuracy of master data for asset management in SAP PM/PS modules.
Govern and standardize master data processes, ensuring compliance with system standards.
SAP Configuration Support
Contribute to the improvement, development and configuration of SAP PM/PS modules to support business processes within across the business.
Collaborate with teams to resolve discrepancies between system design and user requirements.
Coaching & Training
Train and support site-based users in master data management best practices.
Share your expertise in master data governance, promoting consistency and accuracy across locations.
Process Improvement & Best Practices
Identify and drive improvements in data management processes.
Lead projects to implement new solutions for better practices, from development through to implementation.
Eliminate Redundancies
Remove the need for alternate engineering databases by improving and centralizing data in SAP.
People Leadership & Development
Mentor and manage the performance of your direct reports, supporting their professional growth and alignment with Wilmar's HR standards.
Your Winning Combination
Our ideal candidate will have 8+ years of experience in maintenance planning within an industrial environment, with strong knowledge of Computerized Maintenance Management Systems (CMMS). A background in master data governance and proficiency in SAP PM/PS modules are essential. Additionally, experience in coaching and training site-based users will be highly valued. A qualification in an engineering discipline or industry qualifications in SAP PM/PS master data management is desirable. Experience in the sugar industry would be a bonus, but not essential.
What Wilmar will offer you
At Wilmar, you'll be embraced as a valued member of our team, appreciated for your unique contributions. We offer competitive pay and benefits, including additional leave and superannuation entitlements and exclusive partner discounts. Our emphasis on safety and innovation creates a supportive work environment where you can thrive.
How to Apply
If you think that you are the perfect fit for this role, we invite you to apply online via Wilmar Careers before midnight on 02nd December 2024. Got questions or need a helping hand with your application? Our friendly People & Culture Team is just a call away at (07) 4722 1972. We look forward to receiving your application.
About Wilmar Sugar & Renewables
Wilmar Sugar and Renewables is Australia's largest manufacturer and exporter of raw sugar, and among the top 10 producers globally.
We own and operate eight sugar factories across the Herbert, Burdekin, Proserpine and Sarina regions and employ more than 2,000 people during the annual sugar production season.
We are one of Australia's largest generators of renewable electricity from biomass and one of only two bioethanol producers in Australia. We are also the largest sugarcane grower in Australia and a leading supplier of sustainable liquid fertiliser and stockfeed products.",Master Data Analyst,Wilmar Sugar and Renewables,Townsville,https://www.seek.com.au/job/80242307?type=standout&ref=search-standalone&origin=cardTitle#sol=a9e11ea898529ad257258bf0dcfea3451332133f
